geoid,zone,epsg
14000US06067008127,10S,32610
14000US06067008113,10S,32610
14000US06067007421,10S,32610
14000US06067008143,10S,32610
14000US06067008128,10S,32610
14000US06017030902,10S,32610
14000US06017031200,10S,32610
14000US06067007430,10S,32610
14000US06067007432,10S,32610
14000US06061020606,10S,32610
14000US06061020715,10S,32610
14000US06061020714,10S,32610
14000US06017031900,10S,32610
14000US06017031900,11S,32611
14000US06061020710,10S,32610
14000US06061020605,10S,32610
14000US06061020805,10S,32610
14000US06017031405,10S,32610
14000US06017030801,10S,32610
14000US06061020713,10S,32610
14000US06017030701,10S,32610
14000US06061020901,10S,32610
14000US06061020908,10S,32610
14000US06061020712,10S,32610
14000US06061020711,10S,32610
14000US06061022500,10S,32610
14000US06061020806,10S,32610
14000US06017031000,10S,32610
14000US06061020717,10S,32610
14000US06017031301,10S,32610
14000US06061020604,10S,32610
14000US06017031100,10S,32610
14000US06061021045,10S,32610
14000US06061021038,10S,32610
14000US06061021035,10S,32610
14000US06061021003,10S,32610
14000US06061022400,10S,32610
14000US06061021046,10S,32610
14000US06061021037,10S,32610
14000US06017031302,10S,32610
14000US06017030901,10S,32610
14000US06061020601,10S,32610
14000US06061021129,10S,32610
14000US06061021040,10S,32610
14000US06061021108,10S,32610
14000US06061021044,10S,32610
14000US06061021043,10S,32610
14000US06061022600,10S,32610
14000US06061021034,10S,32610
14000US06061021039,10S,32610
14000US06061022800,10S,32610
14000US06061021109,10S,32610
14000US06061021128,10S,32610
14000US06061021103,10S,32610
14000US06061021106,10S,32610
14000US06067006900,10S,32610
14000US06067005601,10S,32610
14000US06067005505,10S,32610
14000US06067005502,10S,32610
14000US06067007020,10S,32610
14000US06067007010,10S,32610
14000US06067007007,10S,32610
14000US06067006102,10S,32610
14000US06067007014,10S,32610
14000US06067007017,10S,32610
14000US06067007011,10S,32610
14000US06067006202,10S,32610
14000US06067006800,10S,32610
14000US06067007012,10S,32610
14000US06067006201,10S,32610
14000US06067006300,10S,32610
14000US06067006600,10S,32610
14000US06067007013,10S,32610
14000US06067007001,10S,32610
14000US06067006101,10S,32610
14000US06067006702,10S,32610
14000US06067007004,10S,32610
14000US06067006003,10S,32610
14000US06067007016,10S,32610
14000US06067007019,10S,32610
14000US06067007018,10S,32610
14000US06067007015,10S,32610
14000US06067007413,10S,32610
14000US06067006400,10S,32610
14000US06067006500,10S,32610
14000US06055201800,10S,32610
14000US06067006701,10S,32610
14000US06067007107,10S,32610
14000US06113011206,10S,32610
14000US06113011204,10S,32610
14000US06113011203,10S,32610
14000US06067007204,10S,32610
14000US06067007103,10S,32610
14000US06067007301,10S,32610
14000US06113011002,10S,32610
14000US06113011205,10S,32610
14000US06113011103,10S,32610
14000US06113011102,10S,32610
14000US06113011101,10S,32610
14000US06067007106,10S,32610
14000US06067007102,10S,32610
14000US06113011001,10S,32610
14000US06067007104,10S,32610
14000US06067007105,10S,32610
14000US06113010902,10S,32610
14000US06067007403,10S,32610
14000US06113010102,10S,32610
14000US06067007202,10S,32610
14000US06113010800,10S,32610
14000US06067007208,10S,32610
14000US06067007402,10S,32610
14000US06113010901,10S,32610
14000US06067007209,10S,32610
14000US06067007406,10S,32610
14000US06067007101,10S,32610
14000US06067007207,10S,32610
14000US06067007426,10S,32610
14000US06067007427,10S,32610
14000US06067007417,10S,32610
14000US06067007206,10S,32610
14000US06067007431,10S,32610
14000US06113011500,10S,32610
14000US06113011400,10S,32610
14000US06061021322,10S,32610
14000US06101051100,10S,32610
14000US06067008010,10S,32610
14000US06067005901,10S,32610
14000US06067008508,10S,32610
14000US06017030804,10S,32610
14000US06067007905,10S,32610
14000US06067007906,10S,32610
14000US06067008009,10S,32610
14000US06067007504,10S,32610
14000US06067008006,10S,32610
14000US06067007601,10S,32610
14000US06067008005,10S,32610
14000US06067008513,10S,32610
14000US06067008504,10S,32610
14000US06017031504,10S,32610
14000US06067008507,10S,32610
14000US06067007903,10S,32610
14000US06067007904,10S,32610
14000US06067007503,10S,32610
14000US06067008007,10S,32610
14000US06067008008,10S,32610
14000US06017030807,10S,32610
14000US06067008505,10S,32610
14000US06017030809,10S,32610
14000US06067007424,10S,32610
14000US06067008117,10S,32610
14000US06067008207,10S,32610
14000US06067008403,10S,32610
14000US06067008133,10S,32610
14000US06067008510,10S,32610
14000US06017031800,10S,32610
14000US06017030706,10S,32610
14000US06067008506,10S,32610
14000US06067008119,10S,32610
14000US06067008137,10S,32610
14000US06067008138,10S,32610
14000US06067008206,10S,32610
14000US06067008139,10S,32610
14000US06067008204,10S,32610
14000US06067008122,10S,32610
14000US06067008512,10S,32610
14000US06067007501,10S,32610
14000US06067007423,10S,32610
14000US06067008134,10S,32610
14000US06067008404,10S,32610
14000US06067008509,10S,32610
14000US06017030710,10S,32610
14000US06067007415,10S,32610
14000US06067008131,10S,32610
14000US06017030808,10S,32610
14000US06067008402,10S,32610
14000US06067007416,10S,32610
14000US06017030810,10S,32610
14000US06067008135,10S,32610
14000US06067008141,10S,32610
14000US06067008144,10S,32610
14000US06067008208,10S,32610
14000US06017031404,10S,32610
14000US06067007414,10S,32610
14000US06067008136,10S,32610
14000US06017030803,10S,32610
14000US06067008209,10S,32610
14000US06067008120,10S,32610
14000US06067008145,10S,32610
14000US06067007422,10S,32610
14000US06067008130,10S,32610
14000US06067988300,10S,32610
14000US06017030709,10S,32610
14000US06017031502,10S,32610
14000US06067008132,10S,32610
14000US06067004402,10S,32610
14000US06067003600,10S,32610
14000US06067003700,10S,32610
14000US06067003501,10S,32610
14000US06113010501,10S,32610
14000US06067003000,10S,32610
14000US06113010607,10S,32610
14000US06067005205,10S,32610
14000US06113010312,10S,32610
14000US06113010608,10S,32610
14000US06067002900,10S,32610
14000US06067002800,10S,32610
14000US06113010302,10S,32610
14000US06067002400,10S,32610
14000US06113010602,10S,32610
14000US06067002500,10S,32610
14000US06113010310,10S,32610
14000US06067005204,10S,32610
14000US06067002700,10S,32610
14000US06113010701,10S,32610
14000US06113010513,10S,32610
14000US06113010508,10S,32610
14000US06113010704,10S,32610
14000US06113010703,10S,32610
14000US06113010512,10S,32610
14000US06067001700,10S,32610
14000US06067002200,10S,32610
14000US06067002600,10S,32610
14000US06113010606,10S,32610
14000US06067001800,10S,32610
14000US06067002300,10S,32610
14000US06113010511,10S,32610
14000US06113010605,10S,32610
14000US06067005201,10S,32610
14000US06067005202,10S,32610
14000US06067001600,10S,32610
14000US06067001900,10S,32610
14000US06113010509,10S,32610
14000US06067002000,10S,32610
14000US06067005403,10S,32610
14000US06067001500,10S,32610
14000US06113010203,10S,32610
14000US06067001300,10S,32610
14000US06067002100,10S,32610
14000US06113011300,10S,32610
14000US06067005404,10S,32610
14000US06067001200,10S,32610
14000US06113010201,10S,32610
14000US06067001400,10S,32610
14000US06067000200,10S,32610
14000US06113010510,10S,32610
14000US06113010204,10S,32610
14000US06067000800,10S,32610
14000US06067001101,10S,32610
14000US06067000100,10S,32610
14000US06067005508,10S,32610
14000US06067000300,10S,32610
14000US06067000400,10S,32610
14000US06067005606,10S,32610
14000US06067000700,10S,32610
14000US06067000500,10S,32610
14000US06067005510,10S,32610
14000US06067000600,10S,32610
14000US06067005509,10S,32610
14000US06067005402,10S,32610
14000US06113010505,10S,32610
14000US06067005301,10S,32610
14000US06113010101,10S,32610
14000US06067005605,10S,32610
14000US06067005506,10S,32610
14000US06097151301,10S,32610
14000US06097153502,10S,32610
14000US06097153501,10S,32610
14000US06097151310,10S,32610
14000US06097151305,10S,32610
14000US06097150306,10S,32610
14000US06097151306,10S,32610
14000US06097151309,10S,32610
14000US06097151308,10S,32610
14000US06097151307,10S,32610
14000US06097154302,10S,32610
14000US06097153403,10S,32610
14000US06097153404,10S,32610
14000US06097153200,10S,32610
14000US06097153300,10S,32610
14000US06097150500,10S,32610
14000US06097151502,10S,32610
14000US06055201300,10S,32610
14000US06097151402,10S,32610
14000US06097151401,10S,32610
14000US06097153401,10S,32610
14000US06097153600,10S,32610
14000US06097151503,10S,32610
14000US06097151602,10S,32610
14000US06097153103,10S,32610
14000US06097153102,10S,32610
14000US06097153104,10S,32610
14000US06097153005,10S,32610
14000US06097153003,10S,32610
14000US06097151900,10S,32610
14000US06097151504,10S,32610
14000US06097153002,10S,32610
14000US06097152000,10S,32610
14000US06097153006,10S,32610
14000US06097151800,10S,32610
14000US06097152203,10S,32610
14000US06097151700,10S,32610
14000US06097153001,10S,32610
14000US06097152201,10S,32610
14000US06097152903,10S,32610
14000US06097152904,10S,32610
14000US06097152300,10S,32610
14000US06097152100,10S,32610
14000US06097152501,10S,32610
14000US06097152802,10S,32610
14000US06097152202,10S,32610
14000US06097152905,10S,32610
14000US06097151601,10S,32610
14000US06097152906,10S,32610
14000US06097153706,10S,32610
14000US06097152502,10S,32610
14000US06097152400,10S,32610
14000US06055201500,10S,32610
14000US06097153703,10S,32610
14000US06097152801,10S,32610
14000US06097152702,10S,32610
14000US06055201601,10S,32610
14000US06055201602,10S,32610
14000US06097153705,10S,32610
14000US06097152600,10S,32610
14000US06097153704,10S,32610
14000US06097152701,10S,32610
14000US06097990100,10S,32610
14000US06097153809,10S,32610
14000US06097153801,10S,32610
14000US06097153808,10S,32610
14000US06097153806,10S,32610
14000US06097154304,10S,32610
14000US06097153804,10S,32610
14000US06055201700,10S,32610
14000US06005000402,10S,32610
14000US06067009310,10S,32610
14000US06005000401,10S,32610
14000US06067009328,10S,32610
14000US06067009325,10S,32610
14000US06067009307,10S,32610
14000US06067009331,10S,32610
14000US06067009324,10S,32610
14000US06067009314,10S,32610
14000US06067009332,10S,32610
14000US06005000301,10S,32610
14000US06067009329,10S,32610
14000US06067009312,10S,32610
14000US06005000101,10S,32610
14000US06067009326,10S,32610
14000US06067009330,10S,32610
14000US06067009311,10S,32610
14000US06005000200,10S,32610
14000US06067009201,10S,32610
14000US06067008600,10S,32610
14000US06067009005,10S,32610
14000US06067009112,10S,32610
14000US06067009111,10S,32610
14000US06067009108,10S,32610
14000US06067008801,10S,32610
14000US06067008704,10S,32610
14000US06067009109,10S,32610
14000US06067009103,10S,32610
14000US06067009110,10S,32610
14000US06005000102,10S,32610
14000US06005000102,11S,32611
14000US06067009105,10S,32610
14000US06067009106,10S,32610
14000US06067009004,10S,32610
14000US06067009107,10S,32610
14000US06067009006,10S,32610
14000US06067008705,10S,32610
14000US06067009011,10S,32610
14000US06067009007,10S,32610
14000US06067005803,10S,32610
14000US06017030704,10S,32610
14000US06067005702,10S,32610
14000US06067005804,10S,32610
14000US06067009008,10S,32610
14000US06067008911,10S,32610
14000US06067008909,10S,32610
14000US06067009010,10S,32610
14000US06067008910,10S,32610
14000US06067008905,10S,32610
14000US06017031503,10S,32610
14000US06067007702,10S,32610
14000US06067005801,10S,32610
14000US06067005701,10S,32610
14000US06067008908,10S,32610
14000US06067008907,10S,32610
14000US06067008913,10S,32610
14000US06017031402,10S,32610
14000US06067005903,10S,32610
14000US06067007802,10S,32610
14000US06067006002,10S,32610
14000US06067007701,10S,32610
14000US06067005904,10S,32610
14000US06067008703,10S,32610
14000US06067008912,10S,32610
14000US06067006004,10S,32610
14000US06003010000,10S,32610
14000US06003010000,11S,32611
14000US06067008702,10S,32610
14000US06067007801,10S,32610
14000US06067007602,10S,32610
14000US06067009612,10S,32610
14000US06067009611,10S,32610
14000US06067009308,10S,32610
14000US06095252903,10S,32610
14000US06067009619,10S,32610
14000US06067009615,10S,32610
14000US06067009639,10S,32610
14000US06067009323,10S,32610
14000US06095253403,10S,32610
14000US06067009614,10S,32610
14000US06067009618,10S,32610
14000US06067009609,10S,32610
14000US06113010401,10S,32610
14000US06067009322,10S,32610
14000US06067009608,10S,32610
14000US06095253402,10S,32610
14000US06067009610,10S,32610
14000US06067009601,10S,32610
14000US06067009320,10S,32610
14000US06095253404,10S,32610
14000US06067009633,10S,32610
14000US06067009321,10S,32610
14000US06067009317,10S,32610
14000US06067009606,10S,32610
14000US06067009634,10S,32610
14000US06067009319,10S,32610
14000US06067004300,10S,32610
14000US06067004012,10S,32610
14000US06067009318,10S,32610
14000US06067009316,10S,32610
14000US06067004906,10S,32610
14000US06067004905,10S,32610
14000US06067004011,10S,32610
14000US06067005002,10S,32610
14000US06067004904,10S,32610
14000US06067004010,10S,32610
14000US06067004903,10S,32610
14000US06067004201,10S,32610
14000US06067004202,10S,32610
14000US06067004203,10S,32610
14000US06067005001,10S,32610
14000US06067005101,10S,32610
14000US06067005102,10S,32610
14000US06067004009,10S,32610
14000US06067004008,10S,32610
14000US06067004001,10S,32610
14000US06067004802,10S,32610
14000US06067004701,10S,32610
14000US06067004502,10S,32610
14000US06067004004,10S,32610
14000US06113010402,10S,32610
14000US06067004801,10S,32610
14000US06067004702,10S,32610
14000US06067004005,10S,32610
14000US06067003800,10S,32610
14000US06067004100,10S,32610
14000US06067004006,10S,32610
14000US06067003400,10S,32610
14000US06067003203,10S,32610
14000US06067004501,10S,32610
14000US06067004602,10S,32610
14000US06067004601,10S,32610
14000US06067003202,10S,32610
14000US06067003204,10S,32610
14000US06067003502,10S,32610
14000US06067003102,10S,32610
14000US06067003101,10S,32610
14000US06067003300,10S,32610
14000US06067003900,10S,32610
14000US06067004401,10S,32610
14000US06095252604,10S,32610
14000US06095252306,10S,32610
14000US06095252610,10S,32610
14000US06055200900,10S,32610
14000US06095252802,10S,32610
14000US06095252316,10S,32610
14000US06095252312,10S,32610
14000US06095252314,10S,32610
14000US06095252801,10S,32610
14000US06095252315,10S,32610
14000US06055200203,10S,32610
14000US06055200302,10S,32610
14000US06055200301,10S,32610
14000US06055200201,10S,32610
14000US06095252310,10S,32610
14000US06095252311,10S,32610
14000US06095252317,10S,32610
14000US06055200804,10S,32610
14000US06055200803,10S,32610
14000US06055200202,10S,32610
14000US06067009900,10S,32610
14000US06095252313,10S,32610
14000US06055200503,10S,32610
14000US06055200705,10S,32610
14000US06055201101,10S,32610
14000US06055200400,10S,32610
14000US06055200703,10S,32610
14000US06055200501,10S,32610
14000US06055200704,10S,32610
14000US06055200504,10S,32610
14000US06055200505,10S,32610
14000US06095252915,10S,32610
14000US06055201402,10S,32610
14000US06055200707,10S,32610
14000US06095253000,10S,32610
